id,Description_Translated
3259,"Name: Car seat Baby Care BSO Sport Isofix
Main_Category: Car seats
Remaining_Categories: Walks and travel,"
3261,"Name: Car seat Chicco Key1 X-Plus ISOFIX
Main_Category: Car seats
Remaining_Categories: Walks and travel,"
3262,"Name: Car seat Chicco Synthesis XT-Plus
Main_Category: Car seats
Remaining_Categories: Walks and travel,"
3265,"Name: Tent house with “Ocean” tunnel
Main_Category: Houses and tents
Remaining_Categories: Exercise machines and gaming complexes,"
3267,"Name: Drum for kids
Main_Category: No_translation"
3269,"Name: Car seat Chicco Oasys 2-3
Main_Category: Car seats
Remaining_Categories: Walks and travel,"
3270,"Name: Chicco Xpace Isofix car seat
Main_Category: Car seats
Remaining_Categories: Walks and travel,"
3271,"Name: Car seat Chicco Go-One
Main_Category: Car seats
Remaining_Categories: Walks and travel,"
3273,"Name: Car seat Maxi-Cosi CabrioFix
Main_Category: Car seats
Remaining_Categories: Walks and travel,"
3277,"Name: Britax Romer KING II car seat
Main_Category: Car seats
Remaining_Categories: Walks and travel,"
3278,"Name: House-tent “Giraffe”
Main_Category: Houses and tents"
3279,"Name: Dinosaur with balls
Main_Category: Musical toys"
3280,"Name: Bucket Maxi Bloks
Main_Category: Constructors
Remaining_Categories: Toys,"
3281,"Name: Aquarium sorter
Main_Category: Bath toys
Remaining_Categories: Sorters, Toys,"
3282,"Name: Electronic swing MamaRoo 4.0
Main_Category: Electric swing
Remaining_Categories: Room and sleep,"
3285,"Name: Britax Romer KIDFIX XP car seat
Main_Category: Car seats
Remaining_Categories: Walks and travel,"
3286,"Name: Car seat Chicco Youniverse
Main_Category: Car seats
Remaining_Categories: Walks and travel,"
3287,"Name: Car seat Chicco Eletta Comfort
Main_Category: Car seats
Remaining_Categories: Walks and travel,"
3288,"Name: Maclaren Quest stroller
Main_Category: Strollers
Remaining_Categories: Walks and travel,"
3289,"Name: Child seats
Main_Category: No_translation"
3293,"Name: Nike baby stroller
Main_Category: No_translation"
3294,"Name: Tent house with tunnel
Main_Category: Houses and tents"
3295,"Name: Car seat Cam Gara New
Main_Category: Car seats
Remaining_Categories: Walks and travel,"
3297,"Name: Trampoline Baby Fitness Imaginarium
Main_Category: Trampolines"
3301,"Name: Car seat Chicco Key1 X-Plus
Main_Category: Car seats
Remaining_Categories: Walks and travel,"
3302,"Name: Oball car transporter
Main_Category: Cars, steering wheels and garages
Remaining_Categories: Toys,"
3303,"Name: Car seat Primo Viaggio DUO-FIX
Main_Category: Car seats
Remaining_Categories: Walks and travel,"
3304,"Name: Maclaren Triumph stroller
Main_Category: Strollers
Remaining_Categories: Walks and travel,"
3306,"Name: Butterfly playhouse (cone)
Main_Category: Houses and tents"
3308,"Name: Car seat Maxi-Cosi Pebble
Main_Category: Car seats
Remaining_Categories: Walks and travel,"
3310,"Name: Car seat Happy Baby Atlant
Main_Category: Car seats
Remaining_Categories: Walks and travel,"
3312,"Name: Car seat Geoby CS888
Main_Category: Car seats
Remaining_Categories: Walks and travel,"
3313,"Name: Car seat Chicco Quasar Plus Astral
Main_Category: Car seats
Remaining_Categories: Walks and travel,"
3314,"Name: Electronic swing MamaRoo 3.0
Main_Category: Electric swing
Remaining_Categories: Room and sleep,"
3315,"Name: Car seat Chicco Neptune
Main_Category: Car seats
Remaining_Categories: Walks and travel,"
3316,"Name: Car seat Chicco Cosmos
Main_Category: Car seats
Remaining_Categories: Walks and travel,"
3317,"Name: Car seat Chicco Auto-Fix Fast Baby
Main_Category: Car seats
Remaining_Categories: Walks and travel,"
3319,"Name: scooter
Main_Category: No_translation"
3320,"Name: Runbike Puky LR 1 EVA
Main_Category: Balance bikes
Remaining_Categories: Children's transport,"
3321,"Name: Large electronic mat “Piano”
Main_Category: Musical toys
Remaining_Categories: Toys,"
3322,"Name: Crazy Racing Car
Main_Category: Cars, steering wheels and garages
Remaining_Categories: Toys,"
