,id,user_id,create_date,start_date,end_date,rental_days,status_code,rental_amount,promo_discount_percent,shipping_type,shipping_amount,return_amount,source_type,product_id,modified_on,old_site_id,new_site_id,original_product_id,site_origin
0,43934,11591.0,2021-11-25,2021-11-25,2021-11-26,,ORDERFINISH,4200.0,,DELIVERY,0.0,0.0,,463480417.0,2021-11-25T11:29:38,3867.0,463480417.0,3867,old_site
1,43934,11591.0,2021-11-25,2021-11-25,2021-11-26,,ORDERFINISH,4200.0,,DELIVERY,0.0,0.0,,495520612.0,2021-11-25T11:29:38,3793.0,495520612.0,3793,old_site
2,43934,11591.0,2021-11-25,2021-11-25,2021-11-26,,ORDERFINISH,4200.0,,DELIVERY,0.0,0.0,,,2021-11-25T11:29:38,,,3564,old_site
3,43934,11591.0,2021-11-25,2021-11-25,2021-11-26,,ORDERFINISH,4200.0,,DELIVERY,0.0,0.0,,495522483.0,2021-11-25T11:29:38,3512.0,495522483.0,3512,old_site
4,43934,11591.0,2021-11-25,2021-11-25,2021-11-26,,ORDERFINISH,4200.0,,DELIVERY,0.0,0.0,,,2021-11-25T11:29:38,,,3530,old_site
5,43934,11591.0,2021-11-25,2021-11-25,2021-11-26,,ORDERFINISH,4200.0,,DELIVERY,0.0,0.0,,495506916.0,2021-11-25T11:29:38,3455.0,495506916.0,3455,old_site
6,43934,11591.0,2021-11-25,2021-11-25,2021-11-26,,ORDERFINISH,4200.0,,DELIVERY,0.0,0.0,,495368107.0,2021-11-25T11:29:38,3437.0,495368107.0,3437,old_site
7,43941,11355.0,2021-11-25,2021-11-26,2021-12-24,,CREATE,700.0,,DELIVERY,0.0,0.0,,495520378.0,2021-11-25T15:08:45,3670.0,495520378.0,3670,old_site
8,43937,13790.0,2021-11-25,2021-11-25,2021-12-03,,SENDTOCLIENT,3500.0,,DELIVERY,0.0,0.0,,463480493.0,2021-11-26T10:42:37,4165.0,463480493.0,4165,old_site
9,43919,13181.0,2021-11-24,2021-11-24,2021-11-27,,SENDTOCLIENT,400.0,,DELIVERY,0.0,0.0,,,2021-11-26T13:14,,,3278,old_site
10,43956,2.0,2021-11-26,2021-11-27,2021-12-04,,CREATE,2700.0,,DELIVERY,0.0,0.0,,495493336.0,2021-11-27T12:04:38,3544.0,495493336.0,3544,old_site
11,43956,2.0,2021-11-26,2021-11-27,2021-12-04,,CREATE,2700.0,,DELIVERY,0.0,0.0,,,2021-11-27T12:04:38,,,3945,old_site
12,43933,13755.0,2021-11-25,2021-11-25,2021-11-30,,SENDTOCLIENT,1600.0,,DELIVERY,0.0,0.0,,495400939.0,2021-11-29T11:01:04,3466.0,495400939.0,3466,old_site
13,43916,2.0,2021-11-24,2021-11-25,2021-12-01,,CREATE,1100.0,,DELIVERY,0.0,0.0,,,2021-11-29T17:27:29,,,3259,old_site
14,43922,2.0,2021-11-24,2021-11-25,2021-12-02,,CREATE,2100.0,,DELIVERY,0.0,0.0,,,2021-11-30T15:12:03,,,3886,old_site
15,43922,2.0,2021-11-24,2021-11-25,2021-12-02,,CREATE,2100.0,,DELIVERY,0.0,0.0,,,2021-11-30T15:12:03,,,3932,old_site
16,43921,2.0,2021-11-24,2021-11-25,2021-12-02,,CREATE,500.0,,DELIVERY,0.0,0.0,,,2021-11-30T15:12:28,,,3821,old_site
17,43989,13812.0,2021-11-29,2021-11-30,2021-12-07,,CREATE,1700.0,,DELIVERY,0.0,0.0,,495400341.0,2021-11-30T16:28:39,3718.0,495400341.0,3718,old_site
18,44001,13821.0,2021-12-01,2021-12-01,2021-12-02,,SENDTOCLIENT,3360.0,,DELIVERY,0.0,0.0,,495488603.0,2021-12-01T13:31:14,3626.0,495488603.0,3626,old_site
19,44001,13821.0,2021-12-01,2021-12-01,2021-12-02,,SENDTOCLIENT,3360.0,,DELIVERY,0.0,0.0,,,2021-12-01T13:31:14,,,3622,old_site
20,44001,13821.0,2021-12-01,2021-12-01,2021-12-02,,SENDTOCLIENT,3360.0,,DELIVERY,0.0,0.0,,,2021-12-01T13:31:14,,,3294,old_site
21,44001,13821.0,2021-12-01,2021-12-01,2021-12-02,,SENDTOCLIENT,3360.0,,DELIVERY,0.0,0.0,,495368878.0,2021-12-01T13:31:14,3405.0,495368878.0,3405,old_site
22,44001,13821.0,2021-12-01,2021-12-01,2021-12-02,,SENDTOCLIENT,3360.0,,DELIVERY,0.0,0.0,,495401895.0,2021-12-01T13:31:14,3349.0,495401895.0,3349,old_site
23,44008,13824.0,2021-12-01,2021-12-02,2021-12-09,,CREATE,1700.0,,DELIVERY,0.0,0.0,,463480214.0,2021-12-01T16:44:46,3314.0,463480214.0,3314,old_site
24,44008,13824.0,2021-12-01,2021-12-02,2021-12-09,,CREATE,1700.0,,DELIVERY,0.0,0.0,,463480461.0,2021-12-01T16:44:46,3314.0,463480461.0,3314,old_site
25,44008,13824.0,2021-12-01,2021-12-02,2021-12-09,,CREATE,1700.0,,DELIVERY,0.0,0.0,,463480462.0,2021-12-01T16:44:46,3314.0,463480462.0,3314,old_site
26,44008,13824.0,2021-12-01,2021-12-02,2021-12-09,,CREATE,1700.0,,DELIVERY,0.0,0.0,,463480463.0,2021-12-01T16:44:46,3314.0,463480463.0,3314,old_site
27,43977,13806.0,2021-11-28,2021-12-02,2021-12-04,,CREATE,1500.0,,DELIVERY,0.0,0.0,,495403210.0,2021-12-02T10:10:43,3851.0,495403210.0,3851,old_site
28,43947,13655.0,2021-11-25,2021-11-26,2021-12-03,,CREATE,1000.0,,DELIVERY,0.0,0.0,,463480355.0,2021-12-02T11:47:06,3592.0,463480355.0,3592,old_site
29,43940,13327.0,2021-11-25,2021-11-26,2021-12-03,,CREATE,1300.0,,DELIVERY,0.0,0.0,,463480434.0,2021-12-02T13:30:35,3547.0,463480434.0,3547,old_site
30,43940,13327.0,2021-11-25,2021-11-26,2021-12-03,,CREATE,1300.0,,DELIVERY,0.0,0.0,,463480436.0,2021-12-02T13:30:35,3547.0,463480436.0,3547,old_site
31,43940,13327.0,2021-11-25,2021-11-26,2021-12-03,,CREATE,1300.0,,DELIVERY,0.0,0.0,,495522834.0,2021-12-02T13:30:35,3831.0,495522834.0,3831,old_site
32,43960,13327.0,2021-11-26,2021-11-26,2021-12-03,,SENDTOCLIENT,1400.0,,DELIVERY,0.0,0.0,,,2021-12-02T13:37:04,,,3881,old_site
33,43960,13327.0,2021-11-26,2021-11-26,2021-12-03,,SENDTOCLIENT,1400.0,,DELIVERY,0.0,0.0,,463480593.0,2021-12-02T13:37:04,3890.0,463480593.0,3890,old_site
34,43960,13327.0,2021-11-26,2021-11-26,2021-12-03,,SENDTOCLIENT,1400.0,,DELIVERY,0.0,0.0,,,2021-12-02T13:37:04,,,3542,old_site
35,44010,13826.0,2021-12-01,2021-12-04,2022-01-01,,CREATE,2400.0,20.0,DELIVERY,0.0,0.0,,463480213.0,2021-12-02T15:34:33,3282.0,463480213.0,3282,old_site
36,44010,13826.0,2021-12-01,2021-12-04,2022-01-01,,CREATE,2400.0,20.0,DELIVERY,0.0,0.0,,463480259.0,2021-12-02T15:34:33,3282.0,463480259.0,3282,old_site
37,44010,13826.0,2021-12-01,2021-12-04,2022-01-01,,CREATE,2400.0,20.0,DELIVERY,0.0,0.0,,463480405.0,2021-12-02T15:34:33,3282.0,463480405.0,3282,old_site
38,44010,13826.0,2021-12-01,2021-12-04,2022-01-01,,CREATE,2400.0,20.0,DELIVERY,0.0,0.0,,463480453.0,2021-12-02T15:34:33,3282.0,463480453.0,3282,old_site
39,44010,13826.0,2021-12-01,2021-12-04,2022-01-01,,CREATE,2400.0,20.0,DELIVERY,0.0,0.0,,463480491.0,2021-12-02T15:34:33,3282.0,463480491.0,3282,old_site
40,43945,13754.0,2021-11-25,2021-11-25,2021-12-03,,SENDTOCLIENT,900.0,,DELIVERY,0.0,0.0,,495516269.0,2021-12-02T17:20:19,3823.0,495516269.0,3823,old_site
41,43986,2.0,2021-11-29,2021-11-30,2021-12-07,,CREATE,600.0,,DELIVERY,0.0,0.0,,,2021-12-02T17:34:48,,,3503,old_site
42,43948,2.0,2021-11-26,2021-11-27,2021-12-04,,CREATE,660.0,40.0,DELIVERY,0.0,0.0,,,2021-12-02T17:35:17,,,3259,old_site
43,43963,13762.0,2021-11-27,2021-11-27,2021-12-04,,SENDTOCLIENT,2000.0,,DELIVERY,0.0,0.0,,495519179.0,2021-12-03T10:32:33,3956.0,495519179.0,3956,old_site
44,43963,13762.0,2021-11-27,2021-11-27,2021-12-04,,SENDTOCLIENT,2000.0,,DELIVERY,0.0,0.0,,,2021-12-03T10:32:33,,,3944,old_site
45,43951,11507.0,2021-11-26,2021-11-27,2021-12-04,,CREATE,360.0,40.0,DELIVERY,0.0,0.0,,,2021-12-03T10:56:53,,,3872,old_site
46,43951,11507.0,2021-11-26,2021-11-27,2021-12-04,,CREATE,360.0,40.0,DELIVERY,0.0,0.0,,,2021-12-03T10:56:53,,,3852,old_site
47,43949,13793.0,2021-11-26,2021-11-27,2021-12-04,,CREATE,1000.0,,DELIVERY,0.0,0.0,,463480655.0,2021-12-03T12:03:08,3925.0,463480655.0,3925,old_site
48,43954,13585.0,2021-11-26,2021-11-26,2021-12-04,,SENDTOCLIENT,1170.0,,DELIVERY,0.0,0.0,,495399681.0,2021-12-03T12:06:20,3447.0,495399681.0,3447,old_site
49,44029,5412.0,2021-12-02,2021-12-02,2022-01-03,,SENDTOCLIENT,2000.0,,DELIVERY,0.0,0.0,,,2021-12-03T13:16:23,,,3608,old_site
50,44029,5412.0,2021-12-02,2021-12-02,2022-01-03,,SENDTOCLIENT,2000.0,,DELIVERY,0.0,0.0,,495401665.0,2021-12-03T13:16:23,3924.0,495401665.0,3924,old_site
51,43959,13620.0,2021-11-26,2021-11-26,2021-12-05,,SENDTOCLIENT,3100.0,,DELIVERY,0.0,0.0,,495402847.0,2021-12-03T13:38:33,3571.0,495402847.0,3571,old_site
52,43959,13620.0,2021-11-26,2021-11-26,2021-12-05,,SENDTOCLIENT,3100.0,,DELIVERY,0.0,0.0,,495402788.0,2021-12-03T13:38:33,3562.0,495402788.0,3562,old_site
53,43959,13620.0,2021-11-26,2021-11-26,2021-12-05,,SENDTOCLIENT,3100.0,,DELIVERY,0.0,0.0,,495402322.0,2021-12-03T13:38:33,3459.0,495402322.0,3459,old_site
54,44036,13836.0,2021-12-03,2021-12-04,2021-12-11,,CREATE,1300.0,,DELIVERY,0.0,0.0,,,2021-12-04T10:53:27,,,3713,old_site
55,43961,13353.0,2021-11-26,2021-11-26,2021-12-05,,SENDTOCLIENT,1700.0,,DELIVERY,0.0,0.0,,495399966.0,2021-12-04T11:37:28,3582.0,495399966.0,3582,old_site
56,44045,13840.0,2021-12-04,2021-12-05,2021-12-12,,CREATE,1700.0,,DELIVERY,0.0,0.0,,463480214.0,2021-12-04T12:52:10,3314.0,463480214.0,3314,old_site
57,44045,13840.0,2021-12-04,2021-12-05,2021-12-12,,CREATE,1700.0,,DELIVERY,0.0,0.0,,463480461.0,2021-12-04T12:52:10,3314.0,463480461.0,3314,old_site
58,44045,13840.0,2021-12-04,2021-12-05,2021-12-12,,CREATE,1700.0,,DELIVERY,0.0,0.0,,463480462.0,2021-12-04T12:52:10,3314.0,463480462.0,3314,old_site
59,44045,13840.0,2021-12-04,2021-12-05,2021-12-12,,CREATE,1700.0,,DELIVERY,0.0,0.0,,463480463.0,2021-12-04T12:52:10,3314.0,463480463.0,3314,old_site
60,43999,13817.0,2021-11-30,2021-12-03,2021-12-10,,CREATE,800.0,,DELIVERY,0.0,0.0,,495277202.0,2021-12-04T18:03:01,3879.0,495277202.0,3879,old_site
61,43964,9906.0,2021-11-27,2021-11-28,2021-12-05,,CREATE,1300.0,,DELIVERY,0.0,0.0,,463480421.0,2021-12-04T19:24:29,3864.0,463480421.0,3864,old_site
62,43964,9906.0,2021-11-27,2021-11-28,2021-12-05,,CREATE,1300.0,,DELIVERY,0.0,0.0,,495528684.0,2021-12-04T19:24:29,3951.0,495528684.0,3951,old_site
63,43991,13812.0,2021-11-30,2021-12-01,2021-12-08,,CREATE,1900.0,,DELIVERY,0.0,0.0,,495400431.0,2021-12-05T12:07:45,3746.0,495400431.0,3746,old_site
64,43974,11299.0,2021-11-28,2021-11-29,2021-12-06,,SENDTOCLIENT,1400.0,,DELIVERY,0.0,0.0,,495402312.0,2021-12-05T12:31:07,3433.0,495402312.0,3433,old_site
65,44039,13838.0,2021-12-04,2021-12-05,2021-12-12,,CREATE,1500.0,,DELIVERY,0.0,0.0,,495401665.0,2021-12-05T14:43:54,3924.0,495401665.0,3924,old_site
66,44039,13838.0,2021-12-04,2021-12-05,2021-12-12,,CREATE,1500.0,,DELIVERY,0.0,0.0,,,2021-12-05T14:43:54,,,3606,old_site
67,43988,13811.0,2021-11-29,2021-11-30,2021-12-07,,CREATE,2300.0,,PICKUP,0.0,0.0,,495492744.0,2021-12-06T10:34:50,3536.0,495492744.0,3536,old_site
68,43988,13811.0,2021-11-29,2021-11-30,2021-12-07,,CREATE,2300.0,,PICKUP,0.0,0.0,,495519088.0,2021-12-06T10:34:50,3635.0,495519088.0,3635,old_site
69,43988,13811.0,2021-11-29,2021-11-30,2021-12-07,,CREATE,2300.0,,PICKUP,0.0,0.0,,495519094.0,2021-12-06T10:34:50,3635.0,495519094.0,3635,old_site
70,43988,13811.0,2021-11-29,2021-11-30,2021-12-07,,CREATE,2300.0,,PICKUP,0.0,0.0,,495519100.0,2021-12-06T10:34:50,3635.0,495519100.0,3635,old_site
71,43973,13803.0,2021-11-28,2021-11-29,2021-12-07,,CREATE,4600.0,,DELIVERY,0.0,0.0,,495399696.0,2021-12-06T10:50:39,3288.0,495399696.0,3288,old_site
72,44000,13818.0,2021-11-30,2021-12-01,2021-12-08,,SENDTOCLIENT,3150.0,10.0,DELIVERY,0.0,0.0,,463480421.0,2021-12-06T16:29:16,3864.0,463480421.0,3864,old_site
73,44000,13818.0,2021-11-30,2021-12-01,2021-12-08,,SENDTOCLIENT,3150.0,10.0,DELIVERY,0.0,0.0,,,2021-12-06T16:29:16,,,3889,old_site
74,44000,13818.0,2021-11-30,2021-12-01,2021-12-08,,SENDTOCLIENT,3150.0,10.0,DELIVERY,0.0,0.0,,463480425.0,2021-12-06T16:29:16,3346.0,463480425.0,3346,old_site
75,44000,13818.0,2021-11-30,2021-12-01,2021-12-08,,SENDTOCLIENT,3150.0,10.0,DELIVERY,0.0,0.0,,495399681.0,2021-12-06T16:29:16,3447.0,495399681.0,3447,old_site
