id,name,brand,main_category,categories,price_per_period3days,price_per_period_week,price_per_period_month,partner_id,description,weight,size,slug,age_zero_six_month,age_six_twelve_month,age_one_two_years,age_two_three_years,age_three_four_years,age_four_five_years,age_six_plus_years,param_child_weight,param_group,param_material,param_safety_standards,param_mount_type,param_seat_type,param_installation,param_child_fixation,param_additional_functions,param_configuration,param_features,param_speed_count,param_max_load,param_operating_principle,param_rocking_modes,param_seat_belts,param_max_child_weight,param_backrest_sleeping_positions,param_stroller_type,param_accessories,param_price_range,param_wheel_type,param_wheel_count,param_type,param_foreign_languages,param_melodies_and_sounds,param_volume_levels,param_elements_count,param_toy_type,param_functions,param_arc_count,param_child_unit_power,param_child_unit_functions,param_parent_unit_functions,param_roleplay_toy_type,param_discreteness,param_shape,param_param_weight,param_bike_seat_mount,param_kind,param_mount,param_melodies,param_melody_count,param_hanging_toy_count,param_chair_type,param_child_positions,param_carrying_method,param_table_type,param_mobility,param_adjustment,param_water_tank_volume,param_other,param_screen_diagonal,param_parent_unit_power
3259,Автокресло Baby Care BSO Sport Isofix,Baby Care,Автокресла,"[""Автокресла"",""Прогулки и путешествия""]",,,,,"<p><span style=""font-size: 14px;"">Baby Care BSO Sport Isofix &ndash; удобное детское автокресло, установленное в литой чаше для большей безопасности. Кресло оснащено креплениями Isofix. В самом кресле присутствуют 5-точечные ремни безопасности.</span></p>
<p><span style=""font-size: 14px;"">Литая чаша обеспечит надежную фиксацию автокресла и дополнительную безопасность. Данное автокресло крепится по ходу движения автомобиля.</span></p>
<p><span style=""font-size: 14px;"">Анатомический подголовник регулируется по высоте. Также, регулировать по высоте можно и саму спинку.&nbsp;<br type=""_moz"" />
</span></p>
<p><span style=""font-size: 14px;""><strong>Особенности:</strong></span></p>
<ul>
    <li><span style=""font-size: 14px;"">Спинка регулируется в 4х положениях</span></li>
    <li><span style=""font-size: 14px;"">Регулируемый подголовник</span></li>
    <li><span style=""font-size: 14px;"">5-ти точечные ремни безопасности</span></li>
    <li><span style=""font-size: 14px;"">Кресло легко и надежно крепится с помощью системы IsoFix или штатных ремней автомобиля</span></li>
    <li><span style=""font-size: 14px;"">Модель имеет сертификат качества ECE 44/04</span></li>
    <li><span style=""font-size: 14px;"">Материалы: ударопрочный пластик, текстиль</span></li>
</ul>","7,3 кг",48х68х61 см,avtokreslo-baby-care-bso-sport-isofix,false,false,false,false,false,false,false,"[""9-18""]","[""Группа 1 (9-18 кг)""]","[""пластик"",""полиэстер""]","[""Стандарт ECE R44/04""]","[""isofix""]","[""автокресло""]","[""по направлению движения""]","[""пятиточечные ремни""]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
3261,Автокресло Chicco Key1 X-Plus ISOFIX,Chicсo,Автокресла,"[""Автокресла"",""Прогулки и путешествия""]",1100.0,1800.0,2700.0,1,"<p><span style=""font-size: 14px;""><span style=""font-family: Tahoma;"">Детское автомобильное кресло Chicco Key1 X-Plus с креплением ISOFIX, благодаря 3-хточечному устройству блокировки становится неотъемлемой частью автомобиля. Система Isofix не требует использования штатных ремней безопасности, что предотвращает риск неправильной установки. Просторное и комфортное сиденье этого кресла имеет анатомическую форму, а обивка содержит вставки из дышащей ткани, благодаря которой ребенок меньше потеет. Наплечные накладки автокресла Key1 X-Plus сделаны из специального немнущегося материала, что препятствует закручиванию ремней.</span></span></p>

<div>&nbsp;</div>

<p><span style=""font-size: 14px;""><span style=""font-family: Tahoma;"">ОСНОВНОЕ:</span></span></p>

<ul>
	<li><span style=""font-size: 14px;""><span style=""font-family: Tahoma;"">Устанавливается лицом по ходу движения автомобиля</span></span></li>
	<li><span style=""font-size: 14px;""><span style=""font-family: Tahoma;"">Устанавливается только на задние пассажирские сиденья</span></span></li>
	<li><span style=""font-size: 14px;""><span style=""font-family: Tahoma;"">Фиксация с помощью креплений ISOFIX или штатным ремнём</span></span></li>
	<li><span style=""font-size: 14px;""><span style=""font-family: Tahoma;"">Регулировка наклона сиденья</span></span></li>
	<li><span style=""font-size: 14px;""><span style=""font-family: Tahoma;"">Регулируемый по высоте подголовник</span></span></li>
</ul>

<p>&nbsp;</p>

<p>&nbsp;</p>

<p>&nbsp;</p>
","12,9 кг",50x43x66 см,avtokreslo-chicco-key1-x-plus-isofix,false,false,false,false,false,false,false,"[""9-18""]","[""Группа 1 (9-18 кг)""]","[""пластик"",""полиэстер""]","[""Стандарт ECE R44/04""]","[""isofix""]","[""автокресло""]","[""по направлению движения""]","[""пятиточечные ремни""]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
3262,Автокресло Chicco Synthesis XT-Plus,Chicсo,Автокресла,"[""Автокресла"",""Прогулки и путешествия""]",600.0,1000.0,1800.0,1,"<ul>
    <li style=""text-align: justify;""><span style=""font-size: 14px;"">Комфортное и безопасное автокресло-люлька устанавливается лицом против движения. Кресло надежно крепится с помощью трехточечных ремней безопасности. </span></li>
</ul>
<ul>
    <li style=""text-align: justify;""><span style=""font-size: 14px;"">Кресло может быть установлено на заднем сиденье автомобиля или на переднем в случае отсутствия подушки безопасности в автомобиле.</span></li>
</ul>
<ul>
    <li style=""text-align: justify;""><span style=""font-size: 14px;"">Кресло обладает противоударной конструкцией со специальной прослойкой, которая поглощает силу удара. </span></li>
</ul>
<ul>
    <li style=""text-align: justify;""><span style=""font-size: 14px;"">Кресло снабжено собственным ремнем безопасности, который имеет единую систему натяжения и регулируется по росту ребенка.</span></li>
</ul>
<ul>
    <li style=""text-align: justify;""><span style=""font-size: 14px;"">С любой стороны кресла может быть установлен капюшон-тент, который защитит малыша от яркого света, ветра или дождя. </span></li>
</ul>
<ul>
    <li style=""text-align: justify;""><span style=""font-size: 14px;"">Кресло можно использовать не только для поездок в машине, но и как ручную переноску или кресло-качалку в домашних условиях.</span></li>
</ul>
<ul>
    <li><span style=""font-size: 14px;"">Спинка имеет одно зафиксированное положение.</span></li>
</ul>
<ul>
    <li><span style=""font-size: 14px;"">Кресло соответствует Европейскому стандарту безопасности для группы 0+.</span></li>
</ul>
<ul>
    <li><span style=""font-size: 14px;"">Чехол снимается и стирается при температуре 30 градусов.</span></li>
</ul>",3.3 кг,56х67х45 см,avtokreslo-chicco-synthesis-xt-plus,false,false,false,false,false,false,false,[],"[""Группа 0 (0-13 кг)""]","[""пластик"",""полиэстер""]","[""Стандарт ECE R44/04""]","[""штатный ремень безопасности""]",[],"[""против направления движения""]","[""трёхточечные ремни""]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
3265,Дом-палатка с туннелем «Океан»,Ching-Ching,Домики и палатки,"[""Домики и палатки"",""Тренажеры и игровые комплексы""]",500.0,700.0,1000.0,1,"<p><span style=""font-size: 14px;"">Игровой домик-палатка с туннелем нравится всем малышам! Тут можно прятаться, ползать по тоннелю, смотреть в окошко, встречать друзей и играть в самые интересные игры! 100 шариков в комплекте помогут развить ловкость и моторику рук и добавлят еще больше веселья!</span></p>",,,dom-palatka-s-tunnelem-okean,false,false,false,false,false,false,false,[],[],[],[],[],[],[],[],"[""Шарики""]","[""Туннель""]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
3267,Барабан для малышей,Imaginarium,,[],,,,,"<p><span style=""font-size: 14px;"">Замечательный двойной барабан для малышей обязательно вызовет интерес у ребенка. Простой музыкальный инструмент пробудит творческие способности ребенка и принесет ему много удовольствия во время игры.<br />
</span></p>",,,baraban-dlya-malyshey,false,false,false,false,false,false,false,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
3269,Автокресло Chicco Oasys 2-3,Chicсo,Автокресла,"[""Автокресла"",""Прогулки и путешествия""]",800.0,1300.0,2000.0,1,"<p><span style=""font-size: 14px;"">Oasys 2-3 - это инновационное автокресло, одобренное в соответствии со стандартами ECE R44/04, для безопасной перевозки детей весом от 15 до 36 кг (группы 2 и 3); примерно от 3 до 12 лет. Автокресло устанавливается при помощи поясных ремней автомобиля с использованием красных направляющих. Сиденье и спинка одновременно откидываются, принимая 4 разные позиции для обеспечения удобной и безопасной поездки. Боковая система безопасности служит для защиты детей в случае боковых ударов. Мягкий набивочный материал и дышащая ткань обеспечивают максимальный комфорт. А система регулировки ширины и высоты приспосабливается под индивидуальные габариты ребенка. Данная модель автокресла получила 4 звезды (самая высокая оценка) на европейских испытаниях в категории гр. 2/3. <br />
</span></p>
<p><span style=""font-size: 14px;"">Общие характеристики:</span></p>
<ul>
    <li><span style=""font-size: 14px;"">Корпус автокресла выполнен из ударопрочного, автомобильного пластика высокого качества</span></li>
    <li><span style=""font-size: 14px;"">Съемная обивка из экологически чистой, воздухонепроницаемой ткани</span></li>
    <li><span style=""font-size: 14px;"">Комфортное сидение, ширина и высота которого регулируются отдельно друг от друга</span></li>
    <li><span style=""font-size: 14px;"">Угол наклона спинки регулируется при помощи специальной кнопки - 4 положения</span></li>
    <li><span style=""font-size: 14px;"">Надежная боковая защита</span></li>
    <li><span style=""font-size: 14px;"">С подстаканником</span>&nbsp;</li>
</ul>
<p><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/7ygwBM-RvQg"" frameborder=""0"" allowfullscreen=""""></iframe></p>",7.8 кг,42х44х66-84 см,avtokreslo-chicco-oasys-2-3,false,false,false,false,false,false,false,"[""15-36""]","[""Группа 2-3 (15-36 кг)""]","[""пластик"",""полиэстер""]","[""Стандарт ECE R44/04""]","[""штатный ремень безопасности""]","[""автокресло""]","[""по направлению движения""]","[""без ремней""]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
3270,Автокресло Chicco Xpace Isofix,Chicсo,Автокресла,"[""Автокресла"",""Прогулки и путешествия""]",1100.0,1800.0,2700.0,1,"<p><i>Автокресло Chicco Xpace </i>обеспечивает максимальную защиту и высокий уровень комфорта детям весом от 9 до 18 кг (от 1 года до 4-х лет). Безопасность обеспечивают противоударная конструкция с прослойкой, поглощающей силу удара, и собственный ремень безопасности, имеющий единую систему натяжения и регулирующийся по росту ребенка. Благодаря эксклюзивной системе безопасности, подголовники, прикрепленные к ремням безопасности, можно легким движением установить на одну из 6 позиций. Для удобства ребенка сидение устанавливается в 5 разных положениях.</p>
<p><b>Основное:</b></p>
<ul style=""list-style-image:url('/images/li_bool.jpg'); padding-bottom:20px;"">
    <li>Оптимально для поездок с ребёнком от 1 года</li>
    <li>Установка лицом вперед</li>
    <li>Регулировка наклона спинки - 5 положений</li>
    <li>Дополнительная защита от боковых ударов</li>
    <li>Крепится при помощи штатных ремней безопасности автомобиля</li>
</ul>
<p><iframe allowfullscreen="""" src=""https://www.youtube.com/embed/T_oWldqJtoA"" width=""560"" height=""315"" frameborder=""0""></iframe></p>",,,avtokreslo-chicco-xpace-isofix,false,false,false,false,false,false,false,"[""9-18""]","[""Группа 1 (9-18 кг)""]","[""пластик"",""полиэстер""]","[""Стандарт ECE R44/04""]","[""isofix""]","[""автокресло""]","[""по направлению движения""]","[""пятиточечные ремни""]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
3271,Автокресло Chicco Go-One,Chicсo,Автокресла,"[""Автокресла"",""Прогулки и путешествия""]",1000.0,1600.0,2400.0,1,"<p><span style=""font-size: 14px;"">Автокресло Go-One растет вместе с ребенком с 12 месяцев до 3 лет (9-18 кг). Автомобильное кресло устанавливается легко и интуитивно при помощи 3-точечных ремней безопасности.</span></p>
<p><span style=""font-size: 14px;"">Безопасность при движении обеспечивает противоударная конструкция с прослойкой, которая минимизирует силу удара. В автокресло встроен собственный ремень безопасности, который имеет единую систему натяжения и регулируется по росту ребенка. У подголовника автокресла 6 позиций, установить в одну из них можно легко, одним движением, благодаря эксклюзивной системе безопасности. Сидение автокресла GO-ONE удобное, широкое и комфортное, имеет 5 разных положений. Мягкая обивка чехла выполнена из качественных дышащих тканей. А новые очень крепкие плечевые ремни не скручиваются, что обеспечит малышу необходимый комфорт и безопасность.</span></p>
<p><span style=""font-size: 14px;"">Особенности:</span></p>
<ul>
    <li><span style=""font-size: 14px;"">Для детей от 1 года до 3-х лет (от 9 до 18 кг.)</span></li>
    <li><span style=""font-size: 14px;"">Имеет 5 положений наклона спинки;</span></li>
    <li><span style=""font-size: 14px;"">Подголовник регулируется по высоте - 6 позиций;</span></li>
    <li><span style=""font-size: 14px;"">Кресло имеет противоударную конструкцию с прослойкой;</span></li>
    <li><span style=""font-size: 14px;"">Чехол из воздухопроницаемой ткани легко снимается и стирается;</span></li>
    <li><span style=""font-size: 14px;"">Ребенок фиксируется в кресле внутренним ремнем автокресла;</span></li>
    <li><span style=""font-size: 14px;"">Отвечает Европейским стандартам качества ECE R44/04</span></li>
    <li><span style=""font-size: 14px;"">Кресло крепится в автомобиле с помощью штатных ремней безопасности.</span></li>
</ul>
<p><iframe width=""568"" height=""345"" src=""https://www.youtube.com/embed/T0NqDKevMtQ"" frameborder=""0"" allowfullscreen=""""></iframe></p>",8.5 кг,41х67х49 см,avtokreslo-chicco-go-one,false,false,false,false,false,false,false,"[""9-18""]","[""Группа 1 (9-18 кг)""]","[""пластик"",""полиэстер""]","[""Стандарт ECE R44/04""]","[""штатный ремень безопасности""]","[""автокресло""]","[""по направлению движения""]","[""пятиточечные ремни""]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
3273,Автокресло Maxi-Cosi CabrioFix,Maxi-Cosi,Автокресла,"[""Автокресла"",""Прогулки и путешествия""]",800.0,1200.0,1800.0,1,"<ul>
	<li>&nbsp;<span style=""font-size: 14px;"">Данное автокресло предназначено для детей возрастной группы 0+ (0-13 кг.) Крепится в машине с помощью штатных ремней безопасности против хода движения автомобиля. Также есть возможность установить автокресло на базу Isofix Maxi-Cosy FamilyFix или EasyBase(не идет в комплекте с креслом). Отличительная особенность модели &ndash; это самое &laquo;лежачее&raquo; автокресло в категории 0+.</span></li>
</ul>

<ul>
	<li style=""text-align: justify;""><span style=""font-size: 14px;"">Благодаря своим компактным размерам, легкому весу и удобной эргономичной ручке кресло можно использовать в качестве переноски. Кресло оснащено собственными 3-х точечными ремнями безопасности с мягкими накладками. Длина ремней регулируется одним движением благодаря централизованной системе натяжения. </span></li>
</ul>

<ul>
	<li style=""text-align: justify;""><span style=""font-size: 14px;"">Ручка автокресла фиксируется в нужном положении нажатием одной кнопки. Ручка сконструирована таким образом, чтобы обеспечить дополнительную защиту ребенку в случае боковых ударов. В модели предусмотрено наличие опорной подушки, которая создаст дополнительный комфорт для тех малышей, которые еще не научились сидеть, и путешествуют лежа, а также памперсную подушку. </span></li>
</ul>

<ul>
	<li style=""text-align: justify;""><span style=""font-size: 14px;"">Боковые подушки не только создают дополнительный комфорт, но и обеспечивают оптимальную защиту в случае боковых ударов. Съемный чехол автокресла сделан из гипоаллергенных материалов, легко снимается и моется. На задней стенке расположен удобный отсек для хранения необходимых мелочей.</span></li>
</ul>

<ul>
	<li style=""text-align: justify;""><span style=""font-size: 14px;"">Автокресло может быть использовано как кресло-качалка, стульчик для кормления и удобная переноска дома и на улице. Кресло подходит для использования в самолетах. Складывающийся козырек защитит при необходимости от солнца, дождя и ветра. </span></li>
</ul>

<ul>
	<li style=""text-align: justify;""><span style=""font-size: 14px;"">Соответствует Европейскому стандарту безопасности ECE R44/04.</span></li>
</ul>

<p>&nbsp;</p>
","3,35 кг",72х45х38 см,avtokreslo-maxi-cosi-cabriofix,false,false,false,false,false,false,false,[],"[""Группа 0 (0-13 кг)""]","[""пластик"",""полиэстер""]","[""Стандарт ECE R44/04""]","[""штатный ремень безопасности""]",[],"[""против направления движения""]","[""пятиточечные ремни""]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
3277,Автокресло Britax Romer KING II,BRITAX ROMER,Автокресла,"[""Автокресла"",""Прогулки и путешествия""]",1100.0,1800.0,2700.0,1,"<p><span style=""font-size: 14px;"">Встречайте King II от Britax R&ouml;mer &ndash; улучшенная версия популярной модели King Plus!&nbsp;Интуитивно понятная система установки проста и не требует дополнительных усилий.</span></p>
<p><span style=""font-size: 14px;"">Чаша автокресла откидывается с помощью специальной кнопки, и фиксируется в двух положениях (для удобства установки в разных типах автомобилей). Система пассивного донатяжения ремня помогает максимально прочно и надежно установить автокресло. При правильном размещении штатного ремня красные направляющие не будут видны.</span></p>
<ul>
    <li><span style=""font-size: 14px;"">усовершенствованная система донатяжения ремня</span><span style=""font-size: 14px;""><br />
    </span></li>
    <li><span style=""font-size: 14px;"">интуитивно понятная система установки автокресла: если направляющие не видны- кресло установлено правильно<br />
    </span></li>
    <li><span style=""font-size: 14px;"">автокресло откидывается вперед при помощи кнопок<br />
    </span></li>
    <li><span style=""font-size: 14px;"">5-ти точечные ремни с мягкими плечевыми накладками, обеспечивающими дополнительный комфорт и безопасность<br />
    </span></li>
    <li><span style=""font-size: 14px;"">глубокая боковая защита с мягкими вставками<br />
    </span></li>
    <li><span style=""font-size: 14px;"">подголовник вместе с ремнями безопасности регулируется по высоте одной рукой<br />
    </span></li>
    <li><span style=""font-size: 14px;"">чехол легко и быстро снимается, не требуя демонтажа внутренних ремней</span></li>
</ul>
<p>&nbsp;<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/nspD9eIWIjg"" frameborder=""0"" allowfullscreen=""""></iframe></p>",10.5 кг,54х45х67 см,avtokreslo-britax-romer-king-ii,false,false,false,false,false,false,false,"[""9-18""]","[""Группа 1 (9-18 кг)""]","[""пластик"",""полиэстер""]","[""Стандарт ECE R44/04""]","[""штатный ремень безопасности""]","[""автокресло""]","[""по направлению движения""]","[""пятиточечные ремни""]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
